age,sex,cause,year,location,BG.mx.all,ALL.mx,BG.mx,PREVt0,DIS.mx.t0,Nx,cause_id,age_group,age_mid,population,all_cause_mx,all_cause_deaths,cause_fraction_raw,cause_fraction,selected_fraction_sum_raw,fraction_adjustment_factor,incidence_rate,prevalence_rate,cause_name,gbd_cause_name,cause_mx,cause_deaths,incident_cases,prevalent_cases,epidemiology_source,scaling_source,incidence_available,incidence_data_status,prevalence_available,prevalence_data_status,IR,CF,pop,check_well,check_sick,newcases,covid.mx
27,Male,ihd,2030,Indonesia,0.00171466988819611,0.00165756319836516,0.00154781711918127,0.0046866619262107,0.000109746079183892,2177979.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000380486339673278,0.0527552246261519,2177979.5,,,0,0
68,Female,cmd,2042,Indonesia,0.009535883057495,0.0209537216178136,0.0209105491762701,0.00036888880988578,4.31724415435059e-05,674288,,,,,,,,,,,,,,,,,,,,,,,,,8.50275695312052e-05,0.114460544434608,674288,,,0,0
58,Male,rhd,2017,Indonesia,0.009044903084295,0.0177464566444785,0.0177224236864726,0.0044139702078266,2.40329580059331e-05,1125502.5,,,,,,,,,,,,,,,,,,,,,,,,,2.66519953064196e-05,0.00543457557306073,1125502.5,,,0,0
62,Female,cmd,2027,Indonesia,0.00708434456159728,0.0144378539692187,0.0144060770603449,0.000163192639836,3.17769088737611e-05,1028701.5,,,,,,,,,,,,,,,,,,,,,,,,,6.29706345294358e-05,0.276486610388348,1028701.5,,,0,0
75,Male,hstroke,2011,Indonesia,0.0314210242890327,0.0594654977015353,0.0519182413385157,0.00990481155114182,0.0075472563630196,291943.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00541874108345809,0.752126339899265,291943.5,,,0,0
47,Male,hhd,2025,Indonesia,0.00472466855821936,0.00728135888619256,0.00709404343975387,0.0010164040223506,0.000187315446438694,1789428,,,,,,,,,,,,,,,,,,,,,,,,,0.000336444867428631,0.247636701549911,1789428,,,0,0
63,Male,hhd,2029,Indonesia,0.0127013637579755,0.0254288009452827,0.0245854519536164,0.00448686191450566,0.00084334899166631,887925.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00170767384194994,0.231009731641276,887925.5,,,0,0
90,Male,istroke,2050,Indonesia,0.0751874081460816,0.13937492972152,0.123873900146383,0.0937268115969968,0.0155010295751361,19539.5,,,,,,,,,,,,,,,,,,,,,,,,,0.0169275250818703,0.177629218564185,19539.5,,,0,0
21,Female,istroke,2029,Indonesia,0.000891260597381434,0.00113526012729107,0.00112757270075771,0.00167698321319598,7.68742653335772e-06,2189482,,,,,,,,,,,,,,,,,,,,,,,,,6.55562390911144e-05,0.0043412893350418,2189482,,,0,0
16,Female,hhd,2017,Indonesia,0.00084551336670884,0.000951326168181435,0.000950108102508972,2.319189623016e-05,1.21806567246303e-06,2146327,,,,,,,,,,,,,,,,,,,,,,,,,8.47980881395079e-06,0.0505834681326055,2146327,,,0,0
11,Male,rhd,2025,Indonesia,0.000480745034246049,0.000564954795624549,0.000556305425554824,0.00152020048530754,8.64937006972468e-06,2434486.5,,,,,,,,,,,,,,,,,,,,,,,,,0.000271768353423218,0.00629160643416862,2434486.5,,,0,0
71,Male,hstroke,2041,Indonesia,0.0208401466028791,0.0423874435287575,0.0370596832458285,0.00930353513686516,0.00532776028292897,445888.5,,,,,,,,,,,,,,,,,,,,,,,,,0.00601630581830717,0.821766702369193,445888.5,,,0,0
83,Male,hhd,2043,Indonesia,0.0448366554250934,0.0875794702811371,0.0847523433231443,0.0247697287706321,0.00282712695799276,115748,,,,,,,,,,,,,,,,,,,,,,,,,0.0026900235628365,0.168024870777161,115748,,,0,0
